有效的	effective	valid	active
手的	manual
血统纯粹的	genuine
灾难性的	disastrous
令人讨厌的	nasty	troublesome
垮了的	bankrupt
手制的	manual
肝味的	liver
迷惑人的	catch
可实行的	feasible
有价值的	valuable	worthwhile
不相容的	alien
北部的	north	northern
辣的	hot
确定的	firm
公开的	open	outward	public
天然的	crude
挖苦的	sarcastic
青铜色的	bronze
发展水平低的	primitive
透视的	perspective
如死一般的	deadly
含义清楚的	transparent
（宝石）密镶的	pave
[化	bound	polar
（分期付款）最后一笔大数目的	balloon
用带子绑住的	bound
鬼鬼祟祟的	sneak
平缓的	gradual
混凝土制的	concrete
没有经验的	lay	maiden
[植]下位的	inferior
完好无缺	intact
（肉体）疼的	painful
香的	fragrant	spicy
不适的	queer
清淡的	slack
商业的	commercial	merchant
隐匿的	invisible
害怕	afraid
连载的	serial
松（弛）的	slack
空中的	aerial
奢侈的	extravagant	superfluous
自满的	ham
有说明力的	eloquent
服务性的	service
头昏眼花的	dizzy
颠倒的	reverse	wrong
浮华的	flash
成直角的	square
凶恶的	fell
第三的	third
平行的	parallel
左派的	left
救济院内的	indoor
琐碎的	little	trivial	futile
照常的	ordinary
（儿童）尿湿尿布的	wet
流行的	current	fashionable	popular	prevalent
环行的	circular
有机（体）的	organic
应付的	owing
最好的(good和well的最高级)	best
淡薄的	thin	weak
急切的	desperate
医学的	medical
汹涌的	rough
物]结合的	bound
卑劣的	dirty	small	insect
音频的	audio
毫无价值的	regardless
在底部的	lower
不结实的	slight
复杂难懂的	clumsy
[生]种的	trivial
男性化的	masculine
经营的	operational
深深地充满着	instinct
用乐器演奏的	instrumental
注意的	alert
略胜一筹的	preferable
有吸引力的	magnetic	magnetic
极小的	minute	tiny
平的	flat	plain	plane
有生气的	active	alive
交际的	social
远端的	far
国民间的	civil
节日的	festival
钢铁业的	steel
无光泽的	mat	opaque
栗色的	bay
衰弱的	feeble
宽容的	tolerant	understanding
周末的	weekend
失常的	wrong
缺少的	absent
可翻下的	turnover
黑人的	Negro
至高的	supreme
钝的	blunt	dull
连环画的	comic
犹豫不决的	dubious
率直的	direct	naked
攻击的	offensive
〈美〉用过的	used
容易接受的	recipient
来自东方的	eastern
讨厌的	grim	military	offensive	painful	rank
恶意的	malignant	poisonous
[植]相近但不连接的	approximate
正确无误的	accurate
慎重	considerate
倒转的	inverse
盛大的	royal
橙色的	orange
为首的	banner
现金的	cash
令人关注的	interesting
困乏的	weary
倾斜的	bias	prone
常驻的	resident
野生的	wild
（社会、政治）进步的	forward
恰好是	very
忍受的	tolerant
消极的	negative	passive
气球状的	balloon
沮丧的	blue	damp	down	low
丰盛的	generous	superb
不规则的	abnormal
固定的	put	set	stationary
高兴的	glad
固执的	stubborn
不中用的	weak
爽快的	crisp
精密	precise
幸福的	happy	prosperous
天气等）安静的	calm
对…不耐烦的	tired
靠广告收入的	commercial
有效率的	efficient
Z字形的	zigzag
日光的	solar
口述的	oral
有经济效益的	economic
法庭的	judicial
[医]阳性的	positive
轻的	light
手指的	digital
渴望得到	hungry
最高级的	summit
轻松的	soft
非常有效的	deadly
高价的	rich
美国黑人文化的	soul
四季开花的	perpetual
飘飘然的	happy
东方的	east	eastern	orient	oriental
电的	electric
不正确的	erroneous	wrong
爆炸等）猛烈的	violent
多重的	multiple
单纯的	naive	pure	simple
枯竭的	bankrupt
致命的	deadly	fatal	kill	malignant	mortal
安心的	secure
从东方来的	east
各种的	all
未必可能的	incredible
料不到的	unexpected
圣徒般的	holy
互惠的	reciprocal
没有的	no
[S-]石器时代的	stone
在前的	former	precedent	preceding
国际关系的	international
国内的	domestic	inland	interior	internal
碳处理的	carbon
迷人的	attractive	darling
桔红色的	orange
用桃子制成的	peach
即将来到的	toward
持续的	constant
清楚表明的	frank
暧昧的	dubious	vague
有自尊心的	proud
精疲力尽的	used
经常	everyday
缺席的	absent
（规则、方法等）死板的	rigid
爱管闲事的	busy
活泼的	bright	lively	pat	alert	alive
拼花的	mosaic
用砖做的	brick
清晰的	plain	precise	clear
[艺]现实主义的	realistic
实地的	field
野蛮的	brutal	savage	wild
分居的	separate
几乎垂直地	sheer
欺诈的	confidence	trick
即刻的	summary	instantaneous
后方的	hinder
剧烈的	severe	violent	acute	exquisite
参谋的	staff
厌世的	pessimistic
有辐射部分的	rotate
非常	very
当地的	local
腐败的	corrupt
独占的	several	sole
许多的	fifty	hundred	much	numerous	various
夏季的	summer
宽裕的	easy
刚毅的	resolute
兴高采烈的	glad	jolly
朝东的	eastern
被弄翻的	upset
<美>最高年级的	senior
热情洋溢的	eager
大理石的	marble
大调的	major
糊涂的	silly
[法]可享受利益的	beneficial
（衣着）短的	brief
绿色的	green
极好的或令人满意的	splendid
以后的	later	after
少年的	juvenile
慷慨的	generous	handsome	liberal
内科的	medical
可为(X光等)透射的	transparent
在东北的	northeast
可接受的	possible
较劣的	less
秘密的	cabinet	closet	confidential	private	secret	underground	inner	interior
平稳的	equal	level
头脑清醒的	sober
潜意识的	latent
人造的	artificial	synthetic
充分的	thorough	wealthy
教导道德的	moral
声音尖利的	brittle
不相关连的	independent
敌对的	hostile	opponent	sour
一度的	sometime
令人愉快的	gorgeous	grateful	lovely	pleasant	agreeable
对…有兴趣的	game
冷气等）感觉得到的	conscious
[逻]外延的	extensive
普通百姓的	folk
中世纪的	medieval
常规的	routine
青少年的	adolescent
（在）国外的	overseas
电视的	video
〈古〉一流的	famous
晚期的	terminal	advanced
幼稚的	juvenile	juvenile	naive	infant
学术上的	learned
认识的	cognitive
绝对的	mathematical	sheer	strict	thorough	total	utter	absolute	implicit
乐观主义的	optimistic
未填写的	blank
工艺的	technical
难做的	difficult
万能的	universal
排外的	exclusive
电气设备阴的	female
杂乱无章的	absurd
（风）来自西面的	west
举起的	up
兴奋的	cordial
招人喜爱的	attractive
用工业方法制造的	technical
机械能的	power
对立的	contrary	opponent	opposite
补充	additional
适合的	fitting	likely	agreeable
危险的	critical	dangerous	serious
明摆着的	patent
[美国俚语]真棒	fancy
聋的	deaf
损失惨重的	disastrous
任意的	free	optional	random
含盐的	salt
（级别、地位）较高的	superior
静电的	static
适当的	applicable	apt	due	fitting	meet	pat	proper	reasonable	suitable	adequate	advisable	appropriate
保守的	conservative
芳菲	fragrant
作为标志的	token
美共和党员	republican
极妙的	fabulous
恰好的	pat
被热爱的	beloved
明确的	definite	specific	straightforward	clear	explicit	express
令人激动的	electric	electrical	exciting
浅薄的	technical
显然的	apparent	visible
胆怯的	chicken	fearful	yellow
虚假的	artificial	mock	sham
（男子）女人腔的	camp
适合于成人的	grown-up
直陈的	indicative
褐色的	brown
航空的	aerial
乐器的	instrumental
疲倦的	tired	weary
博识的	read	wise
完善的	thorough
贪心的	greedy
负有责任的	responsible
惊动一时的	spectacular
初步画出或（写出）的	draft
拾得的	found
[光]入射的	incident
光学的	optical	visual	visual
[口]微醉的	merry
敌人的	enemy	hostile
难对付的	awkward	tender
小说般的	romantic
极其显要的	crucial
用电的	electrical
[物]组合的	resultant
替换用的	spare
言语或行动空洞的	empty
彻底的	radical	thorough	utter
八十岁的	eighty
不能成立的	invalid
船的	naval
状态）的	situated
产业的	industrial
[数学]公共的	common
苍白的	pale
早的	early
留存下的	remainder
机密的	confidential	secret
皮毛的	shallow
相称的	fitting	worthy
占主导地位的	predominant
距离的	metric
（用于指称被替代的东西）原来的	old
锋利的	sharp
小规模的	petty
忠顺的	obedient
有区别的	distinct
令人满意的	desirable	satisfactory	useful
又一个	another
引起争议的	controversial
当选而尚未就职的	elect
生死攸关的	vital
胡乱的	random
官气十足	official
加了蜜的	honey
形象化的	visual
肥胖的	round
[商]即期付款的	prompt
同情况的	fellow
[物]基频的	fundamental
彼此的	mutual
善于表达的	articulate
真心实意的	sincere
小的	little	mere	pocket	small	petty
偷偷摸摸的	hedge	sly	sneak
纸制的	paper
清白的	innocent
〈古〉纯粹的	sincere
模棱两可	ambiguous
严厉的	dear	grim	harsh	severe	stern	stiff
抵抗的	resistant
一家所有的	family
时机成熟的	ripe
假造的	false
感谢的	grateful
恶化的	worse
（水	shallow
平均的	average	level	medium
牛奶的	dairy
在上的	over
协助的	cooperative
可尊敬的	worthy
更多的	more	further
空谈的	closet	academic
有义务的	bound	liable
受崇敬的	sacred
无知的	dark	innocent
悼念的	memorial
无损的	safe	sound
头衔的	title
纪念的	memorial
铤而走险的	desperate
（农业方法）集约的	intensive
有形的	concrete
亲近的	close	intimate
机械的	mechanical
旋转的	revolutionary	rotary
常存于内存中的	resident
果实累累的	fruitful
带来幸运的	fortunate
[航]（船上）应急用的	jury
最权威的	net
突出的	eminent	prominent
副手	secondary
临界值的	threshold
有恶意的	vicious
感觉的	sensitive
讽刺的	sarcastic
宝贝的	precious
晕船	sick
独唱的	solo
男子气概的	masculine
快餐式的	buffet
有亲属关系的	kin
满意的	content
无党派的	independent
不顾虑的	regardless
有争议的	controversial
使用马力的	horse
全球的	global
口头上的	lip
伟大的	giant	great	magnificent
特大的	giant	extra
不讲理的	brutal
口无神论的	skeptical
极其的	terrific
变化的	mobile	variable
没喝醉的	sober
现任的	now
实用的	convenient	practical
来自南方的	southern
博览的	read
退化的	degenerate
（男子）英俊的	handsome
当然的	moral
由于	due
一周一次的[地]	weekly
（孩子等）难管的	troublesome
（房间、柜子等）空的	bare
热诚的	cordial
精通某门学问的	learned
无期限的	perpetual
做作的	ham
同事的	fellow
已包括在价款[租金等]之内的	found
有组织的	orderly	organic	organization
经历充沛的	live
[解]头顶的	vertical
强制性的	compulsory
完好的	sound
令人享受的	gorgeous
温暖的	mild	warm
引起惊异的	marvelous
浪漫主义的	romantic
基于史实的	historical
交战中的	militant
〈英〉（对房客等）不另加费供应的	found
基础的	fundamental	underlying
虚弱的	feeble	weak	fragile
仔细考虑过的	mature
更可取的	preferable
很恰当的	lucky
冷杉木制的	deal
综合的	comprehensive	general	overall	integrate
（尤指在生意上）公平的	square
同等级的	coordinate
肌肉的	muscular
优质的	oriental	quality
有议论余地的	open
非法的	false
闪光的	flash
不能相信的	impossible
拣到的	found
明亮的	bright	brilliant	clear
一年一度的	yearly
素的	plain
朝北的	north
先进的	advanced
容易的	easy	snap
初期的	infant
[语法学]并列的	coordinate
不普通的	unusual
空缺的	vacant
感到伤心的	sorry
显见	apparent
常备军的	stationary
（思想上）不清楚的	vague
能耐…的	tolerant
铁制的	iron
不新鲜的	off	stale
为众人所推崇的	splendid
版权的	copyright
懈怠的	slack
不知名的	nowhere
给人以希望的	hopeful
选出的	elect
可鄙的	cheap
之字形的	zigzag
资深的	senior	veteran
团结一致的	solidary
（建筑物）巍峨的	monster
畅快的	cosy
机动的	locomotive
三方的	triple
无名的	anonymous	obscure
天赋的	born	natural
半信半疑的	dubious
（文艺作品等）找到的	found
由市场内部因素（如投机等）引起的	technical
能胜任的	capable	competent	sufficient
荷	grateful
用防水材料处理过的	waterproof
坐落在…的	situated
自由的	free	liberal	loose	quit
为…所爱的	beloved
令人容易上当的	catch
和蔼的	gracious
非常精确的	thorough
多方面的	various
吉祥的	lucky
冰淇淋的	ice-cream
粘性的	sticky
早日的	early
有关历史研究的	historical
风雅的	artistic
乖巧的	bright
严格意义上的	proper
合群的	social
有洞的	through
合作的	cooperative
努力的	hard
下面的	under	underneath
喷香	delicious	fragrant
[计]并行的	parallel
盈满的	flush
合身的	fit
习惯性的	chronic
表示信任的	confidential
非正式的	casual	shadow	associate
有意识的	conscious
喜欢户外活动的	outdoor
看不见的	invisible
沉醉	drunk
权力大的	powerful
被监禁的	captive
间隔的	alternate
[摄]感光快的	rapid
优美的	graceful	proper	exquisite
专利的	patent
洪亮的	loud
市营的	municipal
丰满的	fat	round
不诚实的	mock
大学生的	undergraduate
在孤单中度过的	lonely
[法]附带的	incident
逐渐的	gradual
美妙	wonderful
孕育着…的	pregnant
二倍的	duplicate
平坦的	plane
用旧了的	used
精神健全的	normal
无力的	limp	pale	weak
失去理智的	wood
年老的	ancient	advanced
有无上权力或权威的	absolute
革新的	renovate
里面的	wrong	inside
行动精确的	precision
自己的	own
公平的	cricket	even	fair
乐观的	optimistic
[哲]客观外界的	outer
表示亲昵的	pet
语言的	linguistic
激烈的	drastic	heavy	loud	furious
简陋的	crude	humble	rude	spare
构成的	component	constituent
边疆的	frontier
外交的	foreign
能防范	proof
九十岁的	ninety
血一样的	bloody
贵重的	precious	valuable
两个的	two
不引人注目的	invisible
强烈的	deep	strong	intense	intensive	keen
私下的	closet
令人敬畏的	August	formidable
秋天的	autumn
中肯的	relevant
一致的	conform	consistent	corresponding	even	agreeable
声名狼藉的	notorious
激愤	indignant
根据命令（或要求）而作的	command
知道的	aware
〈古〉有能力的	sufficient
金钱的	monetary
多疑的	suspicious
[地]全新世的	recent
（文献等）错误百出的	corrupt
特种的	specific
充足的	ample	competent	enough	sufficient	abundant
共有的	common	mutual	party
古老的	ancient	antique	old
突然发生的	swift
合乎卫生的	wholesome
[语法学]现在时的	present
由零碎（或废料）组成的	scrap
低微的	mean
家内的	household
诚实的	honest	upright
适宜的	fitting	suitable
中断的	disrupt
各个的	several	various
弯曲的	curve
相当大（或多）的	considerable
[地质学]基性的	basic
难为情	ashamed
地下的	underground
冬天的	winter
能干的	capable	competent	efficient
有代表性的	representative
成年的	grown-up	adult
存在或发生于种族之间的	racial
按季度的	quarterly
（指某人曾经是…）从前的	sometime
上述的	preceding	above
告别的	farewell
皮的	leather
丝绸的	silk
长的	long
睡着的	asleep
导电的	electric
具有城市或城市生活特点的	urban
无关的	irrespective
英雄的	heroic
渐（升）降的	gradual
[仅用作定语]用于发送的	send
警觉的	alert
断断续续的	intermittent
势在必行的	imperative
不错	okay
能谅解的	understanding
百分度的	centigrade
约定的	conventional
引起歧义的	ambiguous
阴暗的	dull
一向的	usual
文书的	documentary
大陆的	mainland
生的	raw
通情达理的	sensible	understanding
无罪的	innocent
庄严的	royal	solemn	imperial
社交的	party	social
（俚语）坏透了的	shot
吸引人的	exotic
习惯的	customary	accustomed
预先的	advance
负的	minus
小孩似的	baby
铜制的	copper
自身的	onto
[心]反抗性的	negative
典型的	average	classic	model	representative	typical
无勇气的	faint
从容的	easy
失业的	redundant
善良的	benign
管理的	directory	overhead	executive
满面红光的	flush
（按照）透视画法的	perspective
空闲的（时间等）	spare
同盟的	federal
想不到的	unexpected
做事有效率的	together
（脚声等）轻软的	velvet
适于探测的	detective
不活跃的	slack
荒芜的	desert	waste
一般的	pedestrian	standard	universal	broad
陶醉的	drunk
茂密的	thick
小巧易携带的	compact
笨拙的	awkward	clumsy
俚很好的	boss
金（制）的	gold
紧张的	electrical	strenuous	intense
[植]（枝条）平层的	horizontal
[语法学]可能语气的	potential
（纸、棉布或麻布等）本色的	brown
有罪的	guilty
可以吃的	edible
简单的	simple
相貌平平的	plain
虚构的	romantic	synthetic
假冒的	tin
外围的	fringe	out
不朽的	eternal
突出地支持（某一政党）的	banner
基本的	basic	cardinal	elementary	essential	first	fundamental	king	meat	primary	prime	radical	skeleton
远程的	remote
令人感兴趣的	catch	interesting
转瞬即逝的	fleet	transient
僵痛的	lame
随后的	subsequent
社交界的	society
过了中年的	elderly
副的	auxiliary	deputy	side	vice	assistant
分散的	disperse
上等的	choice	fine	superior
节省的	saving
哪一个	which
倒开的	reverse
根本的	fundamental	organic	radical	thorough
十一个的	eleven
无限的	infinite
娇小的	little
油腔滑调的	clever
成功的	successful
（宝石）扁薄发光的	spread
坚定的	decisive	firm	robust	steady	stern	sturdy
愚笨的	mental
阜	abundant
有缺点的	faulty	vicious
重型的	heavy
象炭一般黑的	jet
优异的	great
一年的	annual
广大的	ample	extensive
犯罪的	criminal
提供保护的	safe
幽默的	humorous
中央的	middle
出色的	class
不说话的	dumb
分开的	separate
舒适的	comfortable	cosy	easy
留意堤防的	jealous
破灭的	extinct
静止的	silent	static	stationary	still
黑色的（以幽默的方式对待讨厌的或可怕的事物	black
融化的	run
具有艺术性的	art
（汽车）连箱的（拥有较长的车身和后门	estate
政治的	political
粗俗的	gross	naughty	vulgar	broad
转化的	invert
先行的	advance
任何的	any
计算机或计算机系统停机	down
末期的	late	terminal
散漫的	loose
生疏的	strange
(many)的比较级	more
连衣裙的	dress
无趣味的	dry
现场直播的	live
小体型品种的	toy
牙齿的	dental
香艳的	romantic
新近的	recent
未付的	owing
（用于）操作的	operational
进行的	progressive
残忍的	bloody	bloody	brutal	cruel	fell	fierce	grim	ruthless	savage
无结果的	vain
暗中的	sly
表示可能性的	potential
风趣的	humorous
每天的	everyday
依靠的	dependent
使优美	polish
执政的	in
集体主义的	collective
〈美〉（大学文科）有关[包含]各种实习活动的	cooperative
一百的	hundred
新的	clean	fresh	new
不透明的	opaque	thick
悲惨的	disastrous	miserable	tragic	wretched
充满趣味的	lively
蓄意的	deliberate
紫色的	purple
玫瑰花的	rose
脆的	crisp	porcelain	fragile
自明	obvious
有多种学问、技能或职业的	versatile
借故生端的	aggressive
流传的	current
ill	worse
符合。。	corresponding
艰苦的	tough
不结果实的	barren
关闭的	shut
[医]异质的	foreign
研究生的	graduate
痛切的	deep
技艺高超的	crack
[数]正的	positive
酸的	acid
可能性最大的	outside
植物的	vegetable
值得的	worth
家庭的	domestic	family	home	household
有影响的	predominant	influential
费力的	painful	strenuous
该死的	damn
无足轻重的	negligible
智慧的	mental
骨瘦如柴的	skeleton
独有的	particular	accustomed
值得花时间的	worthwhile
指示的	indicative
天真的	naive	native	simple
战斗中的	militant
可看见的	apparent
深奥微妙的	sophisticated
平淡的	fade	ordinary	tame
冒犯的	offensive
头等的	top
[生物学]原生的	primitive
无论什么…都	whatever
数量庞大的数量庞大的	numerous
廉价的	cheap
显着的	eminent
产生运动的	locomotive
废弃的	obsolete	scrap	waste
历史的	historic	historical
开得很大的	wide
移动的	locomotive	mobile
独立自主的	sovereign
首位的	leading	premier
极相似的	approximate
自然的	natural	spontaneous
模范的	model
[医学]真性的	genuine
本金的	principal
化学作用的	chemical
（脸）涨红的	red
运动的	motive	sport
可观的	handsome	impressive
神圣的	holy	sacred	solemn	divine
[美国口语]大吃一惊的	beat
补充的	auxiliary	extra
不毛的	desert	hungry
玩具的	toy
有刺激性的	spicy
临时凑成的	pickup
[语言学]双唇展开的	spread
没精打采的	lazy
（年龄、地位等）同等的	peer
暴躁的	explosive
禁欲的	continent
给予帮助的	helpful
修长的	trim
橘色的	orange
下列的	following
（风	north	violent
室外	outdoor
害怕的	fearful	afraid
自然规律的	physical
过于巧合的	pat
异已的	alien
按月的	monthly
喜爱[精通]音乐的	musical	musical
干净的	neat	pure
臭名远扬的	notorious
按比较估计的	comparative
通俗风格的	pop
广阔的	spacious	vast	wide	extensive
高地的	highland
瘦的	lean	spare
合算	worthwhile
全世界的	universal	worldwide
有关警察的	police
上了年纪的	elderly
像银的	silver
这样的	such
沉闷的	damp
有才智的	intellectual
逐次	successive
普通平民的	folk
[语]表示结果的	consecutive
插播的	spot
粗糙但实用的	bush
真实的	legitimate	real	sincere	actual	true
附近的	handy
有关全球大局的	global
烤制的	roast
昆虫的	insect
〈诗〉同dusky	dusk
谈情说爱的	romantic
椭圆形的	oval
流畅的	fluent	smooth
最不可能的	last
古时制造的	antique
前述的	preceding
棘手的	awkward	stubborn
第五十周年的	golden
价格上涨的	bull
凶暴的	enormous
足够的	ample	competent	enough	plenty	sufficient	adequate
超绝	unique
容貌出众的	striking
能发出声音或语言的	vocal
难为情的	small
一些	any	some
一切开支包括在内的	inclusive
关键性的	crucial
自然（界）的	physical
唾手可得的	forthcoming
有空的	available
口人（类）的	christian
文学（上）的	literary
显著的	great	notable	noticeable	obvious	outstanding	remarkable	signal	striking
叙事体的	narrative
合格的	regular	standard
柔弱的	slender	weak
南的	south
凌厉的	quick
发电的	electric
不重视的	regardless
封建的	feudal
五十的	fifty
变暗的	dusk
沉重的	heavy
有意义的	significant
连续的	consistent	continuous	serial	straight	successive	consecutive
感光快的	fast
多个的	multiple
米制的	metric
度量衡英制的	imperial
友善的	kind	sociable
潜在的	latent	potential	underlying
滑动的	slip
流传民间的	folk
蜜的	honey
苏格兰高地的	highland
（地方）易受攻击的	vulnerable
庄重的	serious	solemn
不言明[含蓄]的	implicit
定性的	qualitative
不关心的	regardless
协调的	compatible
荡气回肠	pathetic
远离内部（中心）的	outer
老手	expert
草图的	draft
家常的	household
末捧的	anchor
恶心的	sick
射出的	radiate
家的	domestic
松木的	pine
（常大写）（英国或英联邦国家）工党的	labor
盛行的	prevalent
年少无知的	juvenile
安详的	smooth
畅所欲言的	vocal
（构思者）奇特的	fancy
有地位的	important
易被说服的	flexible
雄赳赳的	August	game
强的	strong
秕谬	erroneous
雨后蘑菇似的	mushroom
（呼吸）浅的	shallow
逐次的	gradual
平等比赛的	scratch
积极行动的	aggressive
苦的	bitter
同“self-conscious“	conscious
柔韧的	flexible
生气的	angry	crazy	mad
非凡的	extraordinary	marvelous	remarkable	singular
日间的	day
有益于健康的	healthy
这么大的	such
含糊的	dubious	opaque	ambiguous
老兵的	veteran
出生的	born
精选的	choice	elect	select
送行的	farewell
寂寞的	lonely
民族主义的	national
与电有关的	electrical
养育的	foster
劈开的	split
稀少的	thin
有意思的	meaning
年长的	senior
匮乏的	poor
简洁的	brief	compact	concise	elegant	lean
地平线的	horizontal
直达的	through
和平的	peaceful
内的	interior
刺眼的	loud
在内的	in
电子的	electronic
迅速的	forward	prompt	sudden	swift	active	express
一致同意的	unanimous
[法]有关程序的	adjective
春天的	spring
故意的	deliberate	voluntary
易受影响的	sensitive	susceptible
种族的	ethnic	racial
塑料[塑胶]的	plastic
平凡的	commonplace	garden	ordinary	trivial
大学的	undergraduate	academic
[逻辑学]（条件）必然的	sufficient
高大的	tall
令人痛苦的	miserable
[语]限定的	finite
合宜的	decent
美俚慢吞吞的	moderate
[数]有穷的	finite
让人受难的	cruel
多层的	multiply
尖锐的	bitter	sharp
（时间上）遥远的	remote
极不友好的	horrible
技术（性）的	technical
坦诚的	honest
可伸缩的	elastic	stretch
最适宜的	optimum
恶劣的	dirty	gross	nasty	wicked	wretched
民众的	popular
衍	redundant
标题的	title
壮丽的	magnificent
不孕的	barren
深思的	think
导弹的	missile
善于分析的	analytic
[物]静力的	static
定制的	custom
庶生的	base
同时代的	contemporary
没有手提带的	clutch
顽皮的	naughty	sly	wicked
劣的	base
白色的	white
社会上的	social
古风的	antique
皇家的	imperial
富裕的	ample	prosperous	rich	affluent
[语]阴性的	feminine
（为）艺术家的	art
反常的	abnormal
肌肉运动的	motor
美丽的	beautiful	fair	fairy
最大限度的	capacity
（学校教育或培训）正规的	formal
球状的	global
嗜杀的	bloody
坏的	bad
规则	regular
人为的	artificial	pat
易变的	fluid	mobile
只不过	mere
或折转的	turnover
质量的	qualitative
每一百中有…的	percent
广泛应用	widespread
从前的	former
猝发的	instantaneous
皮革的	leather
后面的	back	following	hinder	rear
特好的	bully
暖调的	warm
正突出的	singular
嗓音的	vocal
（声音）流畅的	liquid
分期偿付的	serial
爽快而清新的	brisk
有秩序的	orderly
有礼貌的	civil	gracious	polite	agreeable
带电的	electric
势不可挡的	overwhelming
职员的	staff
妒羡的	jealous
黄皮肤的	yellow
从事文学研究（或写作）的	literary
公制的	metric
不太清晰的	distant
有步骤的	systematic
貌似真实的	plausible
魔	mysterious
俱乐部的	club
海滨的	seaside
集合的	collective
不大的	humble
中等教育的	secondary
木制的	wood	wooden
用电力（或动力）发动的	power
似矿物的	mineral
政府部门的	executive
缺水的	thirsty
缺乏的	absent	scarce
犯规的	foul
愁容满面的	cloudy
最初的	first	foremost	original	prime	initial
（戏票、车票等）有效的	available
谦虚的	modest
实验的	experimental
美好的	beautiful	graceful	nice
各自的	each	respective	several
反面的	reverse
有趣的	classic	delicious	jolly	merry	pleasant	funny	interesting	interesting
恐怕	afraid
空论的	theoretical
（性质上）有密切联系的	associate
湍流的	turbulent
首要的	arch	basic	head	premier	primary	prime	ultimate
器物等）浅的	shallow
通常陈列于柜橱内的	cabinet
较远的	further
开始的	opening	initial
[语]祈使的	imperative
臭名昭著的	notorious
走了味的	stale
（光）苍白的	lunar
有感染力的	infectious
三十个的	thirty
高尚的	christian	gentle	high	lofty	magnificent	noble	proud	spiritual
囫囵	entire
奇幻	bizarre
严密的	exact	rigorous	thorough
素食者的	vegetarian
富于表情的	eloquent
品行坏的	evil
[农]精耕细作的	intensive
令人震惊的	horrible
有耐性的	patient
流体的	fluid	fluid
费尽心血的	diligent
酸性的	acid
实际的	concrete	effective	practical	actual
电动的	electric	power
基督教的	christian
不必要的	superfluous
可选择的	optional
八个的	eight
相邻	adjacent
[仪]灵敏的	sensitive
形象的	graphic
家用的	home
无说话能力的	dumb
市政的	municipal
偏（离中）心的	offset
在（法律上或道德上）合格的	eligible
（货物等）分量轻而体积大的	balloon
比较（上）的	comparative
实质的	substantial
总计的（金额等）	total
好的	better	fine	good	right
[医]急性的	acute
稠密的	thick	dense
用以吓唬人的	scare
觉察到的	aware
严重的	bad	fatal	grave	nasty	profound	serious	acute
能力等）有限的	limited
指不胜屈	innumerable
侵犯的	aggressive
命令的	imperative
合法婚姻所生的	legitimate
干冷的	crisp
（声音	monotonous
公务的	official	state
通常的	customary	usual	accustomed
早熟的	forward
拙劣的	ordinary
附属的	subordinate	accessory	accidental	adjective
左侧的	left	port
不相似的	unlike
（数量）相当大的	tidy
立即的	summary	instant
专业性的	professional
（形状	uniform
心烦的	upset
与敌对力量相关的	enemy
争权夺利的	political
意识到的	aware	sensible
敏锐的	sharp	shrewd	acute	keen
志愿的	voluntary	volunteer
威风凛凛的	August
可变的	variable
较小的	less	minor
塑性的	plastic
粗陋的	spare
不正的	false
繁荣的	prosperous
概要的	capsule	first
爱国主义的	patriotic
应酬的	polite
没完没了的	eternal
富于战斗性的	militant
不加掩饰的	naked
向内的	inward
怪诞的	romantic	weird
讹	erroneous
短暂的	brief	short	temporary	transient
自制的	continent
失明的	blind
可行的	feasible
新近完成的	raw
匿名的	anonymous
辐射的	radiant
空虚的	blank	empty	vacant	void
有错误的	faulty
热带的	tropic	tropical
锐利的	keen
表示的	indicative
二者	both
顺序排列的	serial
播音的	broadcast
交织的	shot
应该的	proper
难以置信的	fabulous	incredible
尖刻暴躁的	brittle
一样的	even
[植]附着的	coherent
父系的	spear
缄默的	mute
参加的	participant
子代的	daughter
一点儿也没有	no
特级的	imperial
五十个的	fifty
成团的	lump
海军的	marine
受版权保护的	copyright
交替的	alternate
贸易的	commercial
矫揉造作的	precious
表面上的	technical	external
无理性的	absurd
绝对必要的	indispensable
粗制滥造的	coarse
谨慎的	conscientious	discreet	religious	cautious
出身于…的	born
成分的	component
太少的	miserable
安全的	safe	secure	security
娴	skilled
地方的	country	local	rural
放射性的	radioactive
不考虑的	irrespective
坚持的	stubborn
慢吞吞的	lazy
合法的	just	legal	legitimate
[物]临界的	critical
喀嗒一声扣下的	snap
依照惯例的	conventional
短时间做成的	quick
道德败坏的	corrupt
红色的	red
悭吝的	shabby
等效的	equivalent
（人、树木、鸟或动物）成熟的	mature
畏惧	afraid
有法律效力的	valid
谷物制成的	cereal
体力的	manual	mechanical
向前方的	forward
西部的	west
海产的	marine
纤细的	fine	slim
正方形的	square
不直截了当的	roundabout
古罗马的	Latin
造反的	rebel
因而发生的	resultant
还可以的	comparative
本质的	essential	interior	intrinsic
难以理解的	mysterious
右边的	spear
极高的	steep
成千的	thousand
所谓的	so-called
贫穷的	poor
有把握	definite
黄色的	yellow
照耀的	radiant
带有傲慢	arrogant
完整的	complete	full	whole	integral	integrate
情绪低落的	damp
缺乏深度的	superficial
符合逻辑的	logical
本…	this
片状的	sheet
往国外的	abroad
醉的	drunk
神乎其神	marvelous
全体的	blanket	entire	general	overall
罕有的	unusual
（重要性、规模、质量等）居第二位的	second
语言学的	linguistic
精巧的	cunning	elaborate	ingenious
宏大的	grand
